fare_id,route_id,origin_id,destination_id,contains_id
990,10029,6638_2,6611_2,
500,10018,9603_2,2249_1,
250,10025,5246_1,5245_1,
250,20009,3701_1,6128_1,
250,10029,1003_1,6605_1,
250,10032,7637_1,7663_1,
360,10001,801_8,1015_1,
990,10033,1007_1,7641_1,
450,20005,7449_1,7458_1,
490,10018,2240_1,7630_1,
0,20024,99104_2,826_6,
310,10032,1007_2,1004_2,
260,10032,7621_2,7619_2,
250,10000,825_2,3103_1,
530,10028,6134_1,6116_1,
250,10001,1031_1,1050_1,
540,10025,5212_2,5217_1,
500,10029,1003_1,6619_1,
250,20003,7553_1,7552_1,
100,10005,3503_1,3113_1,
250,20010,9515_1,9506_2,
600,10031,7122_2,1003_3,
790,20005,7635_1,7454_1,
750,20004,7800_1,7555_1,
680,10018,2248_1,2244_1,
730,10017,1514_1,1548_1,
320,10017,1530_1,1538_1,
620,10018,2305_1,7629_3,
250,20000,8141_1,8142_1,
250,10027,5625_2,5618_1,
1110,10034,7631_1,7651_1,
100,10012,3601_1,3606_1,
560,10015,1514_1,1328_1,
690,10032,7624_1,7641_1,
510,10032,7611_1,7623_1,
770,10029,6617_1,6639_1,
100,10005,3525_1,3520_1,
250,10014,3103_2,6605_3,
280,10029,6621_2,6617_2,
400,10030,7034_1,7021_1,
630,10015,1519_1,1336_1,
800,10025,5247_1,826_5,
360,10032,7633_1,7661_1,
250,10020,3312_2,3107_2,
1110,10034,7644_1,8054_1,
4400,20025,99411_2,801_22,
250,10032,807_4,1007_2,
490,10017,1524_1,1541_1,
280,10025,5240_1,5234_2,
250,20005,7458_1,7459_1,
660,10031,7124_1,801_11,
800,10032,7627_2,1003_3,
380,10017,1530_2,1520_2,
550,10032,7618_1,7628_1,
250,10002,801_7,1004_2,
250,10027,5605_1,5607_1,
600,10028,6112_1,6131_1,
1000,20007,99713_1,99703_1,
870,10025,5233_2,5215_2,
450,10015,1516_1,1327_1,
790,20005,7637_1,7454_1,
390,10015,1330_1,1523_2,
700,10029,6631_2,6612_2,
370,20004,7547_1,7554_1,
250,20000,8144_1,8146_1,
510,10032,7627_1,7641_1,
780,10029,6609_1,6629_1,
860,20003,2252_1,7554_1,
340,10032,1003_1,7608_1,
400,10017,1517_2,1006_2,
2400,20029,99104_2,826_6,
760,10015,1006_1,1331_1,
250,10025,5241_1,5236_2,
250,10015,1525_2,1523_2,
390,10032,7613_1,7620_1,
250,20002,7844_1,7847_1,
810,10025,5234_2,5209_1,
510,10000,826_2,821_2,
410,10018,9604_3,2250_1,
500,10015,1338_2,1328_1,
290,10018,2315_1,2308_1,
250,10018,2255_1,2251_1,
690,10001,1014_1,1042_1,
710,10027,5631_1,6605_3,
520,10020,3318_2,802_2,
280,10023,5011_1,5006_2,
860,20005,7459_1,7636_2,
380,10029,6624_1,6619_2,
850,10029,6641_2,6616_2,
420,10015,1334_1,1343_1,
280,10028,6117_1,6113_1,
580,10017,1515_1,1537_1,
410,10000,821_1,803_2,
100,10012,3708_1,3504_1,
300,20003,7549_1,7556_1,
990,10015,1510_1,1341_1,
280,10029,6617_1,6622_1,
480,10016,1517_1,1531_1,
250,10014,3310_2,3105_2,
430,10017,1525_1,1540_1,
420,10017,1516_1,1527_1,
700,10032,7619_1,7636_1,
7300,20030,99214_1,1006_1,
530,10027,5605_1,5625_1,
380,10015,1513_1,1520_1,
7300,20018,99215_1,99105_1,
380,10017,1004_1,1515_1,
450,10029,6613_1,6647_1,
0,10011,822_1,826_5,
560,10018,9604_4,2233_1,
850,10015,1336_2,1511_1,
100,10012,3525_1,3504_1,
350,20002,7631_3,7638_1,
0,10007,99826_2,1006_2,
510,10032,7662_1,7630_2,
250,10023,5023_1,5012_1,
250,10014,3106_2,3104_2,
250,20000,8145_1,8148_1,
250,10017,1529_1,1530_1,
300,20003,7550_1,7556_1,
0,20030,99104_1,99111_1,
310,10001,1032_2,1007_1,
330,20006,7446_1,7639_2,
250,20014,9604_1,9605_2,
700,10029,6612_1,6630_1,
1080,10034,8053_1,7450_2,
250,10017,1529_1,1536_1,
500,10001,826_3,1018_1,
250,10029,6609_1,6613_1,
310,10015,1337_1,1341_1,
310,10001,1007_2,1028_1,
370,10018,2235_1,2250_1,
0,20021,99510_1,99507_1,
0,20027,1006_1,801_1,
380,10023,5010_2,802_2,
250,10025,801_4,824_1,
390,10017,1527_1,1543_1,
0,10008,1006_3,822_2,
280,10017,1515_2,804_2,
250,10027,5617_1,5618_1,
440,20004,7636_1,7550_1,
510,10033,1004_1,7618_1,
250,10025,801_4,825_1,
460,10020,9202_1,3106_2,
100,10005,3518_1,3517_1,
480,10031,1007_1,5238_1,
440,20003,7554_1,7544_2,
380,10020,3312_2,3103_2,
570,10001,1030_2,1020_1,
260,20002,7847_1,7849_1,
250,20000,7631_3,7632_1,
950,10029,6643_2,6612_2,
380,10017,1549_1,1534_2,
250,10032,7614_2,7613_2,
250,20000,8148_1,8147_1,
250,10000,802_4,824_1,
360,20005,7449_1,7454_1,
310,10025,1004_2,826_5,
790,10001,1023_1,1044_1,
250,20010,9513_1,9502_1,
510,10031,7122_2,1007_2,
570,10001,1014_1,1050_1,
330,10024,3104_1,5111_1,
310,20003,7632_2,2252_2,
740,20005,7639_1,7455_1,
0,20024,99407_1,99412_1,
740,20005,7452_1,7639_2,
440,10024,5111_1,9429_1,
670,10018,2243_1,2253_2,
250,10027,5620_2,5614_1,
410,10000,801_20,817_2,
250,10029,6631_2,6628_2,
380,10017,1521_1,1529_1,
450,10017,1521_2,1510_3,
780,10001,1018_2,1047_1,
250,10017,1544_2,1540_1,
850,10025,5237_2,5212_1,
880,10032,1023_2,7653_1,
810,10025,5210_2,5236_1,
260,10032,7622_2,7619_2,
430,10025,5209_2,3103_1,
450,20005,7800_1,7543_1,
250,10023,5012_1,5021_1,
250,20014,9602_1,9606_1,
250,20009,3702_1,3705_1,
660,10032,7620_1,7639_3,
440,10018,7631_1,2238_1,
300,20004,7638_1,7633_1,
320,10032,7627_2,7623_2,
250,10015,1522_1,1326_1,
250,10025,5211_2,5210_2,
250,10017,1511_1,1308_1,
420,10030,9010_3,7042_1,
510,10000,824_2,815_1,
10000,10003,99606_1,99808_1,
260,10016,1517_1,1520_1,
250,10020,9211_1,3318_2,
860,20005,7637_1,7458_1,
430,10025,822_1,825_1,
330,20002,7846_1,7541_2,
990,10025,5246_1,5215_2,
250,10028,6121_2,6119_1,
330,10017,1525_1,1537_1,
250,10018,2250_1,7631_3,
260,10020,3110_4,3105_2,
300,10015,1519_2,1513_2,
0,20007,99104_1,801_1,
250,10023,5022_1,5018_1,
410,10032,7631_1,7653_1,
330,10017,1512_1,1516_1,
590,20003,2250_1,7546_1,
100,10005,3507_2,3502_1,
490,10029,6635_2,6623_2,
100,10005,3508_1,3513_1,
390,10017,1523_1,1536_1,
250,10017,1526_2,1525_2,
380,20006,7460_1,7452_1,
270,10016,1525_2,1520_2,
250,10001,1031_1,1033_1,
360,10024,5108_2,801_11,
700,10029,6612_1,6631_1,
320,10017,1534_1,1544_1,
540,10025,5220_1,5243_1,
250,20008,9202_1,1004_2,
660,10017,801_3,1524_1,
530,10018,2304_1,2252_1,
310,10033,801_8,1008_1,
990,10015,1003_1,1348_1,
720,10029,6608_1,6627_1,
650,10029,6636_2,6620_2,
440,10029,6616_2,823_2,
540,10032,1006_1,7619_1,
970,10025,5213_2,5239_1,
990,10015,1515_1,1347_1,
250,10020,9203_1,9204_1,
440,20003,7636_1,7550_1,
250,10025,5245_1,5246_2,
770,10017,1555_2,1507_2,
250,10015,1344_1,1346_1,
990,10032,7640_2,7610_2,
250,10014,3314_2,3313_2,
420,10030,7020_1,7033_2,
410,10016,802_3,1515_1,
520,20006,7449_2,7543_2,
540,10025,824_2,5233_1,
470,10017,1521_1,1536_1,
520,10025,1005_1,5238_1,
650,20004,7800_1,7551_1,
250,20010,9505_1,9512_1,
250,10025,1003_3,824_1,
250,20005,7454_1,7452_1,
500,10018,7800_1,9603_2,
800,10025,5240_1,5208_1,
700,10032,7635_2,7618_2,
250,10032,7663_1,7635_2,
310,10001,1008_2,1028_1,
390,10018,2303_1,2315_1,
740,10015,1346_1,1327_1,
