route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id,jp_pattern_id
10017,O_0001_1,0001_1_100000949,松山市駅(大街道),,0,,,,,,,0001,1810_2
10017,O_0001_1,0001_1_100000363,松山市駅(千舟町),,0,,,,,,,0001,1813_2
10017,O_0001_1,0001_1_100000403,松山市駅(千舟町),,1,,,,,,,0001,1842_1
10017,O_0001_1,0001_1_100000404,松山市駅(千舟町),,1,,,,,,,0001,1842_1
10007,O_0001_1,0001_1_100002014,松山室町営業所,,0,,,,,,,0001,20005_2
10007,O_0001_1,0001_1_100002016,松山室町営業所,,0,,,,,,,0001,20011_2
10004,O_0001_1,0001_1_100002007,新大阪,,1,,,,,,,0001,20015_1
20032,O_0001_1,0001_1_100002008,京都駅八条口,,1,,,,,,,0001,20021_1
20033,O_0001_1,0001_1_100002017,松山室町営業所,,0,,,,,,,0001,20021_2
20031,O_0001_1,0001_1_100002013,京都駅八条口,,1,,,,,,,0001,20022_1
20030,O_0001_1,0001_1_100002027,松山室町営業所,,0,,,,,,,0001,20023_2
20017,O_0001_1,0001_1_100002012,新大阪,,1,,,,,,,0001,20025_1
10018,O_0001_1,0001_1_100000652,木地(愛大病院・四国がんセンター),,1,,,,,,,0001,2230_1
10018,O_0001_1,0001_1_100000656,木地(愛大病院・四国がんセンター),,1,,,,,,,0001,2230_1
10018,O_0001_1,0001_1_100000645,森松(愛大病院・四国がんセンター),,0,,,,,,,0001,2230_2
10018,O_0001_1,0001_1_100000649,森松(愛大病院・四国がんセンター),,0,,,,,,,0001,2230_2
20020,O_0001_1,0001_1_100001694,岡山駅西口,,1,,,,,,,0001,30002_1
20020,O_0001_1,0001_1_100001700,ＪＲ松山駅前,,0,,,,,,,0001,30003_2
10019,O_0001_1,0001_1_100001193,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001194,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001195,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001196,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001197,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001198,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001199,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001200,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001201,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001202,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001203,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001204,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001205,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001206,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001207,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001208,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001209,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001210,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001211,北伊予駅前,,1,,,,,,,0001,3130_1
10019,O_0001_1,0001_1_100001212,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001213,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001214,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001215,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001216,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001217,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001218,松山市駅,,0,,,,,,,0001,3130_2
10019,O_0001_1,0001_1_100001219,松山市駅,,0,,,,,,,0001,3130_2
