stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1003_1,,市役所前,,33.838875,132.764616,1003_1,,0,,,,
1003_3,,市役所前,,33.838703,132.764780,1003_3,,0,,,,
1004_1,,県庁前,,33.841163,132.766048,1004_1,,0,,,,
1004_2,,県庁前,,33.840957,132.766196,1004_2,,0,,,,
1005_1,,一番町,,33.841462,132.769523,1005_1,,0,,,,
1006_1,,大街道,,33.841373,132.770961,1006_1,,0,,,,
1006_2,,大街道,,33.841038,132.769243,1006_2,,0,,,,
1006_3,,大街道,,33.841248,132.769405,1006_3,,0,,,,
1006_4,,大街道,,33.841341,132.771094,1006_4,,0,,,,
1007_1,,一番町一,,33.841697,132.774044,1007_1,,0,,,,
1007_2,,一番町一,,33.841526,132.774398,1007_2,,0,,,,
1008_1,,南持田,,33.841659,132.777107,1008_1,,0,,,,
1008_2,,南持田,,33.841586,132.776837,1008_2,,0,,,,
1009_1,,東高前,,33.841486,132.779532,1009_1,,0,,,,
1009_2,,東高前,,33.841369,132.779527,1009_2,,0,,,,
1010_1,,付属中学前,,33.841414,132.782636,1010_1,,0,,,,
1010_2,,付属中学前,,33.841319,132.782229,1010_2,,0,,,,
1011_1,,湯渡町,,33.840845,132.785153,1011_1,,0,,,,
1011_2,,湯渡町,,33.840881,132.784948,1011_2,,0,,,,
1013_1,,県警察官舎前,,33.837805,132.787981,1013_1,,0,,,,
1013_2,,県警察官舎前,,33.837608,132.788171,1013_2,,0,,,,
1014_1,,一里木,,33.836301,132.789935,1014_1,,0,,,,
1015_1,,桑原,,33.834709,132.791982,1015_1,,0,,,,
1016_1,,短大前,,33.831949,132.796052,1016_1,,0,,,,
1016_2,,短大前,,33.832063,132.795730,1016_2,,0,,,,
1017_1,,畑寺一丁地,,33.831503,132.796908,1017_1,,0,,,,
1017_2,,畑寺一丁地,,33.831407,132.796898,1017_2,,0,,,,
1018_1,,畑寺,,33.829214,132.797943,1018_1,,0,,,,
1018_2,,畑寺,,33.829002,132.797797,1018_2,,0,,,,
1019_1,,繁多寺口,,33.827615,132.798005,1019_1,,0,,,,
1020_1,,三町,,33.825848,132.798926,1020_1,,0,,,,
1020_2,,三町,,33.825140,132.799720,1020_2,,0,,,,
1021_1,,北野,,33.823130,132.801640,1021_1,,0,,,,
1021_2,,北野,,33.822919,132.801720,1021_2,,0,,,,
1022_1,,日尾公園前,,33.818159,132.804711,1022_1,,0,,,,
1022_2,,日尾公園前,,33.818089,132.804551,1022_2,,0,,,,
1023_1,,久米,,33.816568,132.805998,1023_1,,0,,,,
1023_2,,久米,,33.816738,132.804937,1023_2,,0,,,,
1023_3,,久米,,33.816533,132.805296,1023_3,,0,,,,
