table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,えひめこどもの城,,,えひめこどもの城
stops,stop_name,en,Ehime Kodomono Shiro,,,えひめこどもの城
stops,stop_name,ja-Hrkt,えひめこどものしろ,,,えひめこどもの城
stops,stop_name,ja,さくらの湯,,,さくらの湯
stops,stop_name,en,Sakuranoyu,,,さくらの湯
stops,stop_name,ja-Hrkt,さくらのゆ,,,さくらの湯
stops,stop_name,ja,しのざき医院前,,,しのざき医院前
stops,stop_name,en,Shinozaki Iin,,,しのざき医院前
stops,stop_name,ja-Hrkt,しのざきいいんまえ,,,しのざき医院前
stops,stop_name,ja,すみれ野団地前,,,すみれ野団地前
stops,stop_name,en,Sumireno Danchi,,,すみれ野団地前
stops,stop_name,ja-Hrkt,すみれのだんちまえ,,,すみれ野団地前
stops,stop_name,ja,とべ動物園前,,,とべ動物園前
stops,stop_name,en,Tobe Zoo,,,とべ動物園前
stops,stop_name,ja-Hrkt,とべどうぶつえんまえ,,,とべ動物園前
stops,stop_name,ja,はりまや橋,,,はりまや橋
stops,stop_name,en,Harimaya Bashi,,,はりまや橋
stops,stop_name,ja-Hrkt,はりまやばし,,,はりまや橋
stops,stop_name,ja,ほりえうみてらす海の駅,,,ほりえうみてらす海の駅
stops,stop_name,en,Horie Umi Terrace Umi-no Eki,,,ほりえうみてらす海の駅
stops,stop_name,ja-Hrkt,ほりえうみてらすうみのえき,,,ほりえうみてらす海の駅
stops,stop_name,ja,みなら特別支援学校前,,,みなら特別支援学校前
stops,stop_name,en,Minara Tokubetsu Shien Gakko,,,みなら特別支援学校前
stops,stop_name,ja-Hrkt,みならとくべつしえんがっこうまえ,,,みなら特別支援学校前
stops,stop_name,ja,むかいだ小児科前,,,むかいだ小児科前
stops,stop_name,en,Mukaida Shonika,,,むかいだ小児科前
stops,stop_name,ja-Hrkt,むかいだしょうにかまえ,,,むかいだ小児科前
stops,stop_name,ja,ゆめタウン高松,,,ゆめタウン高松
stops,stop_name,en,Yume Town Takamatsu,,,ゆめタウン高松
stops,stop_name,ja-Hrkt,ゆめたうんたかまつ,,,ゆめタウン高松
stops,stop_name,ja,アイテムえひめ前,,,アイテムえひめ前
stops,stop_name,en,Item Ehime,,,アイテムえひめ前
stops,stop_name,ja-Hrkt,あいてむえひめまえ,,,アイテムえひめ前
stops,stop_name,ja,ウェルケア重信口,,,ウェルケア重信口
stops,stop_name,en,Wellcare Shigenobuguchi,,,ウェルケア重信口
stops,stop_name,ja-Hrkt,うぇるけあしげのぶぐち,,,ウェルケア重信口
stops,stop_name,ja,エミアミューズ前,,,エミアミューズ前
stops,stop_name,en,Emi Amuse,,,エミアミューズ前
stops,stop_name,ja-Hrkt,えみあみゅーずまえ,,,エミアミューズ前
stops,stop_name,ja,エミフルまさき,,,エミフルまさき
stops,stop_name,en,Emifull Masaki,,,エミフルまさき
stops,stop_name,ja-Hrkt,えみふるまさき,,,エミフルまさき
stops,stop_name,ja,グランモール入口,,,グランモール入口
stops,stop_name,en,Grand Mall Iriguchi,,,グランモール入口
stops,stop_name,ja-Hrkt,ぐらんもーるいりぐち,,,グランモール入口
stops,stop_name,ja,コムズ前,,,コムズ前
stops,stop_name,en,Coms,,,コムズ前
stops,stop_name,ja-Hrkt,こむずまえ,,,コムズ前
stops,stop_name,ja,スポーツセンター前,,,スポーツセンター前
stops,stop_name,en,Sports Center,,,スポーツセンター前
stops,stop_name,ja-Hrkt,すぽーつせんたーまえ,,,スポーツセンター前
stops,stop_name,ja,ダイキ重信店前,,,ダイキ重信店前
stops,stop_name,en,Daiki Shigenobuten,,,ダイキ重信店前
stops,stop_name,ja-Hrkt,だいきしげのぶてんまえ,,,ダイキ重信店前
stops,stop_name,ja,テクノプラザ愛媛口,,,テクノプラザ愛媛口
stops,stop_name,en,Techno Plaza Ehimeguchi,,,テクノプラザ愛媛口
stops,stop_name,ja-Hrkt,てくのぷらざえひめぐち,,,テクノプラザ愛媛口
stops,stop_name,ja,ニ名保育所前,,,ニ名保育所前
stops,stop_name,en,Futana Hoikusyo,,,ニ名保育所前
stops,stop_name,ja-Hrkt,ふたなほいくしょまえ,,,ニ名保育所前
stops,stop_name,ja,ハリマ塚,,,ハリマ塚
stops,stop_name,en,Harimazuka,,,ハリマ塚
stops,stop_name,ja-Hrkt,はりまづか,,,ハリマ塚
stops,stop_name,ja,パルティ・フジ垣生,,,パルティ・フジ垣生
stops,stop_name,en,Palty Fuji Habu Shopping Center,,,パルティ・フジ垣生
stops,stop_name,ja-Hrkt,ぱるてぃ・ふじはぶ,,,パルティ・フジ垣生
stops,stop_name,ja,フィッタ前,,,フィッタ前
stops,stop_name,en,Fitta,,,フィッタ前
stops,stop_name,ja-Hrkt,ふぃったまえ,,,フィッタ前
stops,stop_name,ja,フジグラン重信ＳＣ,,,フジグラン重信ＳＣ
stops,stop_name,en,Fuji Grand Shigenobu Shopping Center,,,フジグラン重信ＳＣ
stops,stop_name,ja-Hrkt,ふじぐらんしげのぶしょっぴんぐせんたー,,,フジグラン重信ＳＣ
stops,stop_name,ja,フジグラン重信ＳＣ前,,,フジグラン重信ＳＣ前
stops,stop_name,en,Fuji Grand Shigenobu Shopping Center,,,フジグラン重信ＳＣ前
stops,stop_name,ja-Hrkt,ふじぐらんしげのぶしょっぴんぐせんたーまえ,,,フジグラン重信ＳＣ前
stops,stop_name,ja,マドンナスタジアム,,,マドンナスタジアム
stops,stop_name,en,Madonna Stadium,,,マドンナスタジアム
stops,stop_name,ja-Hrkt,まどんなすたじあむ,,,マドンナスタジアム
stops,stop_name,ja,リーガホテル前,,,リーガホテル前
stops,stop_name,en,Rihga Hotel,,,リーガホテル前
stops,stop_name,ja-Hrkt,りーがほてるまえ,,,リーガホテル前
stops,stop_name,ja,ロープウエイ前,,,ロープウエイ前
stops,stop_name,en,Ropeway,,,ロープウエイ前
stops,stop_name,ja-Hrkt,ろーぷうえいまえ,,,ロープウエイ前
stops,stop_name,ja,一の門,,,一の門
stops,stop_name,en,Ichinomon,,,一の門
stops,stop_name,ja-Hrkt,いちのもん,,,一の門
stops,stop_name,ja,一丁地,,,一丁地
stops,stop_name,en,Icchoji,,,一丁地
stops,stop_name,ja-Hrkt,いっちょうじ,,,一丁地
stops,stop_name,ja,一宮バスターミナル,,,一宮バスターミナル
stops,stop_name,en,Kochi ikku Eigyosho,,,一宮バスターミナル
stops,stop_name,ja-Hrkt,いっくばすたーみなる,,,一宮バスターミナル
stops,stop_name,ja,一番町,,,一番町
